dataset,cpus,workers,train_time,predict_time
susy,2,0,1292.304122704,0.082671
susy,2,2,419.22064326320003,0.030116599999999997
susy,2,4,250.172506159,0.0168076
susy,2,6,191.5462099088,0.0119934
susy,2,8,166.487938461,0.009683
susy,2,10,146.2843569616,0.007407
susy,2,12,134.16528158,0.0061351999999999995
susy,2,14,128.83104860219998,0.0055646
susy,2,16,122.63052232519999,0.0050428
susy,2,18,121.624970781,0.0049828
susy,2,20,122.3413826602,0.004997
susy,2,22,129.9954338082,0.0054052
susy,2,24,132.9172138668,0.0058563999999999995
